episode 171, steps 1001, avg_score : 20.06599955148995
episode 172, steps 1001, avg_score : 18.91599957719445
episode 173, steps 1001, avg_score : 20.148999549634755
episode 174, steps 1001, avg_score : 20.47899954225868
episode 175, steps 1001, avg_score : 19.614999561570585
episode 176, steps 1001, avg_score : 16.91149962199852
episode 177, steps 1001, avg_score : 19.290499568823726
episode 178, steps 1001, avg_score : 19.409499566163866
episode 179, steps 1001, avg_score : 20.683499537687748
episode 180, steps 1001, avg_score : 20.308999546058477
episode 181, steps 1001, avg_score : 20.138499549869447
episode 182, steps 1001, avg_score : 21.451999520510434
episode 183, steps 1001, avg_score : 22.775499490927906
episode 184, steps 1001, avg_score : 22.52199949659407
episode 185, steps 1001, avg_score : 20.956499531585724
episode 186, steps 1001, avg_score : 18.519999586045742
episode 187, steps 1001, avg_score : 19.598499561939388
episode 188, steps 1001, avg_score : 22.356499500293285
episode 189, steps 1001, avg_score : 20.81349953478202
episode 190, steps 1001, avg_score : 21.602499517146498
episode 191, steps 1001, avg_score : 19.8494995563291
episode 192, steps 1001, avg_score : 22.855499489139767
episode 193, steps 1001, avg_score : 22.303499501477926
episode 194, steps 1001, avg_score : 24.38449945496395
episode 195, steps 1001, avg_score : 24.739499447029083
episode 196, steps 1001, avg_score : 23.72199946977198
episode 197, steps 1001, avg_score : 22.520999496616422
episode 198, steps 1001, avg_score : 22.697999492660166
episode 199, steps 1001, avg_score : 20.912999532558025
episode 200, steps 1001, avg_score : 22.94549948712811
episode 201, steps 1001, avg_score : 22.593999494984747
episode 202, steps 1001, avg_score : 21.999499508272855
episode 203, steps 1001, avg_score : 20.985499530937524
episode 204, steps 1001, avg_score : 21.095499528478832
episode 205, steps 1001, avg_score : 23.353499478008597
episode 206, steps 1001, avg_score : 21.591499517392368
episode 207, steps 1001, avg_score : 21.419499521236865
episode 208, steps 1001, avg_score : 20.711999537050723
episode 209, steps 1001, avg_score : 22.70099949259311
episode 210, steps 1001, avg_score : 22.74799949154258
episode 211, steps 1001, avg_score : 19.859999556094408
episode 212, steps 1001, avg_score : 22.4354994985275
episode 213, steps 1001, avg_score : 23.257499480154365
episode 214, steps 1001, avg_score : 21.70099951494485
episode 215, steps 1001, avg_score : 22.20799950361252
episode 216, steps 1001, avg_score : 22.40799949914217
episode 217, steps 1001, avg_score : 22.60149949481711
episode 218, steps 1001, avg_score : 21.974999508820474
episode 219, steps 1001, avg_score : 24.299999456852674
episode 220, steps 1001, avg_score : 20.531499541085214
episode 221, steps 1001, avg_score : 22.93799948729575
episode 222, steps 1001, avg_score : 23.649999471381307
episode 223, steps 1001, avg_score : 25.414499431941657
episode 224, steps 1001, avg_score : 26.661499404069037
episode 225, steps 1001, avg_score : 27.073499394860118
episode 226, steps 1001, avg_score : 29.37049934351817
episode 227, steps 1001, avg_score : 28.957999352738263
episode 228, steps 1001, avg_score : 28.855999355018138
episode 229, steps 1001, avg_score : 26.461499408539385
episode 230, steps 1001, avg_score : 26.242499413434416
episode 231, steps 1001, avg_score : 26.680499403644355
episode 232, steps 1001, avg_score : 26.245499413367362
episode 233, steps 1001, avg_score : 25.614999427460134
episode 234, steps 1001, avg_score : 25.55649942876771
episode 235, steps 1001, avg_score : 24.206499458942563
episode 236, steps 1001, avg_score : 26.947999397665264
episode 237, steps 1001, avg_score : 24.040999462641775
episode 238, steps 1001, avg_score : 25.03349944045767
episode 239, steps 1001, avg_score : 26.473499408271163
episode 240, steps 1001, avg_score : 28.44799936413765
episode 241, steps 1001, avg_score : 28.844999355264008                                                                                                                                                                                                                         [1940/2755]
episode 242, steps 1001, avg_score : 27.71699938047677
episode 243, steps 1001, avg_score : 26.753499402012675
episode 244, steps 1001, avg_score : 29.09849934959784
episode 245, steps 1001, avg_score : 28.417499364819378
episode 246, steps 1001, avg_score : 26.81599940061569
episode 247, steps 1001, avg_score : 30.01249932916835
episode 248, steps 1001, avg_score : 26.757999401912095
episode 249, steps 1001, avg_score : 25.664999426342547
episode 250, steps 1001, avg_score : 27.717499380465597
episode 251, steps 1001, avg_score : 27.865999377146363
episode 252, steps 1001, avg_score : 27.23349939128384
episode 253, steps 1001, avg_score : 27.082499394658953
episode 254, steps 1001, avg_score : 28.075499372463675
episode 255, steps 1001, avg_score : 28.68049935894087
episode 256, steps 1001, avg_score : 27.82349937809631
episode 257, steps 1001, avg_score : 28.10999937169254
episode 258, steps 1001, avg_score : 28.00849937396124
